timestamp,open,high,low,close,volume
2022-11-16,98.0200,99.8500,97.9015,98.9900,24660195
2022-11-15,98.6700,100.4200,97.0200,98.7200,31830969
2022-11-14,95.5000,97.1800,95.1125,96.0300,24170076
2022-11-11,94.7100,97.3600,94.1600,96.7300,30569112
2022-11-10,92.3400,94.5500,91.6500,94.1700,42371216
2022-11-09,88.5450,89.4900,87.3599,87.4000,26743883
2022-11-08,89.1600,90.4050,87.6500,88.9100,30172001
2022-11-11,94.7100,97.3600,94.1600,96.7300,30569112
2022-11-10,92.3400,94.5500,91.6500,94.1700,42371216
09-11-2022,88.55,89.49,87.36,87.4,26704596
08-11-2022,89.16,90.405,87.65,88.91,30172001
07-11-2022,87.34,88.94,86.96,88.65,26899879
04-11-2022,85.51,86.73,83.88,86.7,40173284
03-11-2022,86.345,86.55,83.45,83.49,48510364
02-11-2022,90.91,91.3,87.01,87.07,43553551
01-11-2022,95.59,96.165,90.43,90.5,43220599
31-10-2022,95.78,96.35,94.38,94.66,29868714
28-10-2022,92.53,96.86,92.3225,96.58,35696925
27-10-2022,94.31,95.17,91.9,92.6,54036485
26-10-2022,96.76,98.54,94.57,94.82,71671814
25-10-2022,103.3,105.0999,103.02,104.93,29910170
24-10-2022,102.09,103.1,100.3,102.97,24680831
21-10-2022,98.46,101.62,98.23,101.48,28988727
20-10-2022,100.82,103,99.97,100.53,25125082
19-10-2022,100.7,101.6592,99.635,100.29,21573686
18-10-2022,103.94,104.22,100.65,101.39,21610541
17-10-2022,99.52,101.77,99.51,100.78,23311604
14-10-2022,100.625,101.29,97.03,97.18,22624832
13-10-2022,95.93,100.53,95.27,99.71,32812220
12-10-2022,98.27,99.6476,97.67,98.3,17343431
11-10-2022,98.25,100.12,97.25,98.05,21617727
10-10-2022,99.85,99.99,97.87,98.71,16529897
07-10-2022,100.65,101.42,99.21,99.57,24249910
06-10-2022,101.5,103.73,101.5,102.24,17156240
05-10-2022,100.69,102.74,99.74,102.22,18475515
04-10-2022,101.04,102.72,101.04,102.41,22580931
03-10-2022,97.22,99.97,97.02,99.3,24840028
30-09-2022,97.73,99.494,96.03,96.15,26277832
29-09-2022,99.3,99.3,96.52,98.09,21921520
28-09-2022,98.02,101.4,97.8,100.74,24616999
27-09-2022,99.91,100.46,97.34,98.09,24224988
26-09-2022,98.61,100.44,98.38,98.81,22437938
23-09-2022,100.06,100.11,98.01,99.17,25656959
22-09-2022,99.45,101.68,99.41,100.57,21145595
21-09-2022,102.24,103.49,99.99,100.01,26596757
20-09-2022,102.88,103.17,101.12,101.83,24001668
19-09-2022,102.54,104.02,102.37,103.85,19738603
16-09-2022,102.97,104.03,101.855,103.63,64540115
15-09-2022,105.01,106.21,103.31,103.9,26494933
14-09-2022,105.44,106.1,104.5,105.87,22115805
13-09-2022,108.89,109.37,105,105.31,33014991
12-09-2022,111.99,112.64,110.93,111.87,19732905
09-09-2022,110.05,112,110,111.78,21745034
08-09-2022,109.18,110.58,108.06,109.42,21660654
07-09-2022,107.76,110.99,107.615,110.48,22987178
06-09-2022,108.135,108.88,106.51,107.48,20529528
02-09-2022,111.34,111.675,108.13,108.68,20618080
01-09-2022,109.2,111.22,108.19,110.55,22784385
31-08-2022,111.63,111.77,109.05,109.15,25897978
30-08-2022,111.03,111.37,108.8,109.91,20548202
29-08-2022,110.78,111.96,109.81,110.34,20347494
26-08-2022,115.81,116.6,111.22,111.3,31698668
25-08-2022,115.15,117.78,115.05,117.7,14874666
24-08-2022,114.45,115.7171,113.78,114.7,16051174
23-08-2022,114.32,115.93,114.3,114.77,14390691
22-08-2022,116.1,116.5,114.67,115.07,19316024
19-08-2022,119.87,120,117.67,118.12,20186983
18-08-2022,120.23,121.69,119.5502,120.86,15652029
17-08-2022,120.93,122.15,120.2,120.32,17589157
16-08-2022,122.32,123.2276,121.535,122.51,15626171
15-08-2022,122.21,123.26,121.57,122.88,15524951
12-08-2022,121.16,122.65,120.4001,122.65,16121087
11-08-2022,122.08,122.3402,119.55,119.82,16671627
